Feature,Type,Description,Proccess,File,Source Code Lines,Page
Id,,,the name of the subject (sub_{\d3}),*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
DayOfExperiment†,Int,Number of days from the start of the experiment (from 1).,For each unique date of 'DateOfSleepEvening' column a consecutive rank value is assigned.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
ExperimentDates†,Date,Date of the experiment day.,A date range array is created from the start date to the end date from the Subject Dates file. Include Not in Israel dates.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
DateOfSleepEvening,,,"The date of sleep starts on this day, /n if ValidSleep == True /n  AND /n the MainSleep (Fitbit Calculation) == True, /n in the rows of the specific subject in the Sleep All Subjects CSV file.  /n",*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
WeekdayOfSleepEvening,,,The name of the day in the week by the date of DateOfSleepEvening.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
WeekdayOfSleep,,,The name of the day in the week where the sleep happened.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
SleepStartTime,,,The datetime value of the time where the sleep started as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
SleepEndTime,,,The datetime value of the time where the sleep ended as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
BedStartTime,,,The datetime value of the time where the subject got in bed started as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
BedEndTime,,,The datetime value of the time where the subject get out of bed as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
StartOfDay,,,The datetime value of the time where the sleep ended in the previous day as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
EndOfDay,,,The datetime value of the time where the sleep ended in the current day as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
sum_of_steps_mean,,,"The mean of the sum of steps of the specific subject, as identified in the Metrics of Heart rate by activity csv",*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
mean_of_steps_that_sampled_mean,,,The mean of the mean of the steps that sampled as identified in the Metrics of heart rate by activity.csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
std_of_steps_mean,,,The mean of the std of the steps as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_mean,,,The mean of the feature bpm mean as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_std,,,The mean of the feature_bpm_std as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_cv,,,The mean of the feature_bpm_cv as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_min,,,The mean of the feature_bpm_min as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_max,,,The mean of the feature_bpm_max as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_count,,,The mean of the feature_bpm_count as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
minutes_percentage_of_feature_bpm,,,The mean of the minutes_percentage_of_feature_bpm as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
feature_bpm_empirical_skew_by_noa_from_paper,,,,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
minutes_percentage_of_feature_bpm,,,,*(Full Week/ No Weekends) All Subjects of Heart Rate Metrics By Activity.csv,,
Id,,,the name of the subject (sub_{\d3}) ,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
DayOfExperiment†,Int,Number of days from the start of the experiment (from 1).,For each unique date of 'DateOfSleepEvening' column a consecutive rank value is assigned.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
ExperimentDates†,Date,Date of the experiment day.,A date range array is created from the start date to the end date from the Subject Dates file. Include Not in Israel dates.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
DateOfSleepEvening,,,"The date of sleep starts on this day, /n if ValidSleep == True /n  AND /n the MainSleep (Fitbit Calculation) == True, /n in the rows of the specific subject in the Sleep All Subjects CSV file.  /n",*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
WeekdayOfSleepEvening,,,The name of the day in the week by the date of DateOfSleepEvening.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
WeekdayOfSleep,,,The name of the day in the week where the sleep happened.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
SleepStartTime,,,The datetime value of the time where the sleep started as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
SleepEndTime,,,The datetime value of the time where the sleep ended as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
BedStartTime,,,The datetime value of the time where the subject got in bed started as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
BedEndTime,,,The datetime value of the time where the subject get out of bed as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
StartOfDay,,,The datetime value of the time where the sleep ended in the previous day as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
EndOfDay,,,The datetime value of the time where the sleep ended in the current day as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
sum_of_steps_mean,,,"The mean of the sum of steps of the specific subject, as identified in the Metrics of Heart rate by activity csv",*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
mean_of_steps_that_sampled_mean,,,The mean of the mean of the steps that sampled as identified in the Metrics of heart rate by activity.csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
std_of_steps_mean,,,The mean of the std of the steps as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_mean,,,The mean of the feature bpm mean as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_std,,,The mean of the feature_bpm_std as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_cv,,,The mean of the feature_bpm_cv as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_min,,,The mean of the feature_bpm_min as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_max,,,The mean of the feature_bpm_max as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_count,,,The mean of the feature_bpm_count as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
minutes_percentage_of_feature_bpm,,,The mean of the minutes_percentage_of_feature_bpm as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_days_based,,,The total of the samples that identified as valid for the specific subject.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
feature_bpm_based,,,The sum of the samples that identified as valid for the specific subject.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
sleep_regularity_index,,,"These indices measure the regulation of the subject's sleep from day to day. /n The formula found in this article /n https://www.jmir.org/2018/6/e210/#figure5 /n  /n The formula is: /n 1. Take the Mode column from the heart rate steps sleep aggregated of the subject. /n 2. Rename the sleeping value to -1, and in_bed and awake to 1, and assign nan where the value is unknown. /n 3. Shift the minutes of the current day to the next day so that they are parallel to each other. Alias the new column of the shifted values as 24h_lag_Mode. /n 4. remove the residual minutes of the next day. /n 5. multiply the renamed values of the Mode column and the shifted column. To get the same mode as 1 and a different mode as -1 (sleeping * sleeping = -1 * -1 & awake * sleeping = 1 * -1). /n  6. get the sleep_regulatory index as: /n (sum of the values after multiplication / total values in each row of the Mode | 24h_lag_Mode) /n (sum of the values after multiplication / total values in each row of the Mode | 24h_lag_Mode) MINUS 0.5) MULTIPLY by 200.",*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,
Id,,,the name of the subject (sub_{\d3}),{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
DayOfExperiment†,Int,Number of days from the start of the experiment (from 1).,For each unique date of 'DateOfSleepEvening' column a consecutive rank value is assigned.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
ExperimentDates†,Date,Date of the experiment day.,A date range array is created from the start date to the end date from the Subject Dates file. Include Not in Israel dates.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
DateOfSleepEvening,,,"The date of sleep starts on this day, /n if ValidSleep == True /n  AND /n the MainSleep (Fitbit Calculation) == True, /n in the rows of the specific subject in the Sleep All Subjects CSV file.  /n",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
WeekdayOfSleepEvening,,,The name of the day in the week by the date of DateOfSleepEvening.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
WeekdayOfSleep,,,The name of the day in the week where the sleep happened.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
SleepStartTime,,,The datetime value of the time where the sleep started as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
SleepEndTime,,,The datetime value of the time where the sleep ended as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
BedStartTime,,,The datetime value of the time where the subject got in bed started as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
BedEndTime,,,The datetime value of the time where the subject get out of bed as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
StartOfDay,,,The datetime value of the time where the sleep ended in the previous day as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
EndOfDay,,,The datetime value of the time where the sleep ended in the current day as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
sum_of_steps_that_sampled,,,"The sum of steps that were sampled in the date of the current row that didn't identify as outliers in the heart rate and steps and sleep /n  aggregated of this subject. /n Also, if this is the exclude weekends file, then if it's not a weekend.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
mean_of_steps_that_sampled_mean,,,The mean of the mean of the steps that sampled as identified in the Metrics of heart rate by activity.csv of the subject,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
std_of_steps_mean,,,The mean of the std of the steps as identified in the metrics of heart rate by activity csv of the subject,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
mean_of_steps_that_sampled,,,"The mean of steps sampled in the date of the current row that didn't identify as outliers in the heart rate and steps and sleep /n  aggregated of this subject. /n Also, if this is the exclude weekends file, then if it's not a weekend.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
std_of_steps_that_sampled,,,"The std of steps sampled on the date of the current row didn't identify outliers in the heart rate and steps and sleep /n  aggregated for this subject. /n Also, if this is the exclude weekends file, then if it's not a weekend.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_mean,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The mean bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n  It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n  Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_std,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The std bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n  It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_cv,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The cv bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_min,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The min bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n If the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file, it will not be taken into account. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_max,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The max bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n If the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file, it will not be taken into account /n. Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_count,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The count bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n If the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file, it will not be taken into account. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n If the bpm count in the specific row is 0, then nan will be assigned.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_skew,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The skew bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
feature_bpm_empirical_skew_by_noa_from_paper,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n This feature is calculated as: /n ((the bpm mean of this feature - the median bpm of this feature) *3)  /n  divided by /n  specific feature bpm std /n /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n /n This feature will not been calculate for sleep features ! ",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
minutes_percentage_of_feature_bpm,,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The percentage of minutes on the specific day the subject was in the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n /n This feature will not be calculated for sleep features!",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,
