Id,ExperimentStartDate,ExperimentStartTime,ExperimentEndDate,ExperimentEndTime,Device,group
example_subject_0281,30/06/2024,15:00,11/08/2024,15:00,novastudy_011@labs.hevra.haifa.ac.il,HC
example_subject_0282,30/06/2024,14:20,25/08/2024,04:45,novastudy_013@labs.hevra.haifa.ac.il,HC
example_subject_0283,30/06/2024,18:40,04/08/2024,14:30,novastudy_032@labs.hevra.haifa.ac.il,HC
example_subject_0284,30/06/2024,18:10,25/07/2024,21:00,novastudy_047@labs.hevra.haifa.ac.il,HC
example_subject_0285,30/06/2024,18:20,04/08/2024,09:00,novastudy_061@labs.hevra.haifa.ac.il,HC
example_subject_0287,30/06/2024,18:30,04/08/2024,17:30,novastudy_023@labs.hevra.haifa.ac.il,HC
example_subject_0288,03/07/2024,17:40,14/08/2024,16:38,novastudy_050@labs.hevra.haifa.ac.il,HC
example_subject_0289,03/07/2024,18:35,07/08/2024,19:30,novastudy_077@labs.hevra.haifa.ac.il,HC
example_subject_0290,10/07/2024,18:15,15/08/2024,11:05,novastudy_101@labs.hevra.haifa.ac.il,HC
example_subject_0295,07/07/2024,16:20,11/08/2024,13:50,novastudy_028@labs.hevra.haifa.ac.il,HC
example_subject_0296,07/07/2024,16:30,11/08/2024,15:55,novastudy_055@labs.hevra.haifa.ac.il,HC
example_subject_0297,07/07/2024,16:30,21/08/2024,17:30,novastudy_024@labs.hevra.haifa.ac.il,HC
example_subject_0298,07/07/2024,15:55,11/08/2024,14:00,novastudy_039@labs.hevra.haifa.ac.il,HC
example_subject_0299,07/07/2024,16:00,11/08/2024,15:20,novastudy_031@labs.hevra.haifa.ac.il,HC
example_subject_0325,10/07/2024,14:30,14/08/2024,16:00,novastudy_065@labs.hevra.haifa.ac.il,HC
example_subject_0326,07/07/2024,15:30,28/07/2024,12:55,novastudy_066@labs.hevra.haifa.ac.il,HC
example_subject_0327,07/07/2024,15:45,28/07/2024,12:55,novastudy_109@labs.hevra.haifa.ac.il,HC
example_subject_0328,10/07/2024,19:50,19/08/2024,15:35,novastudy_033@labs.hevra.haifa.ac.il,HC
example_subject_0329,10/07/2024,14:30,14/08/2024,15:35,novastudy_027@labs.hevra.haifa.ac.il,HC
example_subject_033,01/02/2024,14:10,05/03/2024,00:00,novastudy_053@labs.hevra.haifa.ac.il,HC
example_subject_0330,10/07/2024,16:40,21/08/2024,16:45,novastudy_088@labs.hevra.haifa.ac.il,HC
example_subject_0331,10/07/2024,18:21,14/08/2024,17:25,novastudy_075@labs.hevra.haifa.ac.il,HC
example_subject_034,01/02/2024,13:15,07/03/2024,12:00,novastudy_034@labs.hevra.haifa.ac.il,HC
example_subject_035,01/02/2024,12:40,05/03/2024,15:00,novastudy_140@labs.hevra.haifa.ac.il,HC
example_subject_037,08/02/2024,17:00,10/03/2024,08:30,novastudy_031@labs.hevra.haifa.ac.il,HC
example_subject_039,01/02/2024,16:38,03/03/2024,18:10,novastudy_070@labs.hevra.haifa.ac.il,HC
example_subject_044,08/02/2024,16:50,14/03/2024,18:30,novastudy_039@labs.hevra.haifa.ac.il,HC
example_subject_045,06/05/2024,18:24,10/06/2024,18:15,novastudy_016@labs.hevra.haifa.ac.il,HC
example_subject_047,01/02/2024,12:20,27/02/2024,19:00,novastudy_093@labs.hevra.haifa.ac.il,HC
example_subject_053,01/02/2024,18:10,01/03/2024,18:05,novastudy_026@labs.hevra.haifa.ac.il,HC
example_subject_054,06/05/2024,14:50,25/05/2024,20:00,novastudy_003@labs.hevra.haifa.ac.il,HC
example_subject_055,01/02/2024,13:30,03/03/2024,12:30,novastudy_048@labs.hevra.haifa.ac.il,HC
example_subject_057,22/05/2024,15:19,26/06/2024,18:00,novastudy_022@labs.hevra.haifa.ac.il,HC
example_subject_058,16/05/2024,18:54,23/06/2024,16:15,novastudy_085@labs.hevra.haifa.ac.il,HC
example_subject_061,08/02/2024,12:50,07/03/2024,02:00,novastudy_059@labs.hevra.haifa.ac.il,HC
example_subject_064,08/02/2024,14:20,01/03/2024,17:00,novastudy_049@labs.hevra.haifa.ac.il,HC
example_subject_066,05/02/2024,18:25,04/03/2024,19:27,novastudy_032@labs.hevra.haifa.ac.il,HC
example_subject_067,08/02/2024,14:30,14/03/2024,16:30,novastudy_050@labs.hevra.haifa.ac.il,HC
example_subject_068,02/06/2024,18:30,06/07/2024,10:00,novastudy_100@labs.hevra.haifa.ac.il,HC
example_subject_081,05/05/2024,14:15,09/06/2024,15:53,novastudy_139@labs.hevra.haifa.ac.il,HC
example_subject_082,05/05/2024,15:35,09/06/2024,14:45,novastudy_136@labs.hevra.haifa.ac.il,HC
example_subject_083,05/05/2024,16:58,09/06/2024,08:45,novastudy_134@labs.hevra.haifa.ac.il,HC
example_subject_084,05/05/2024,19:07,10/06/2024,20:00,novastudy_001@labs.hevra.haifa.ac.il,HC
example_subject_085,05/05/2024,18:00,14/06/2024,05:40,novastudy_122@labs.hevra.haifa.ac.il,HC
example_subject_087,06/05/2024,14:50,07/06/2024,10:00,novastudy_123@labs.hevra.haifa.ac.il,HC
example_subject_088,06/05/2024,16:31,06/06/2024,09:00,novastudy_137@labs.hevra.haifa.ac.il,HC
example_subject_091,16/05/2024,17:20,23/06/2024,15:30,novastudy_053@labs.hevra.haifa.ac.il,HC
example_subject_092,16/05/2024,18:30,23/06/2024,17:23,novastudy_062@labs.hevra.haifa.ac.il,HC
example_subject_093,16/05/2024,15:55,27/06/2024,09:00,novastudy_026@labs.hevra.haifa.ac.il,HC
example_subject_098,05/06/2024,18:00,10/07/2024,13:00,novastudy_078@labs.hevra.haifa.ac.il,HC
example_subject_099,26/05/2024,16:15,30/06/2024,13:00,novastudy_021@labs.hevra.haifa.ac.il,HC
example_subject_105,22/05/2024,16:00,25/06/2024,08:00,novastudy_046@labs.hevra.haifa.ac.il,HC
example_subject_106,22/05/2024,17:25,26/06/2024,15:40,novastudy_087@labs.hevra.haifa.ac.il,HC
example_subject_107,22/05/2024,19:00,25/06/2024,20:00,novastudy_073@labs.hevra.haifa.ac.il,HC
example_subject_108,26/05/2024,14:00,30/06/2024,06:00,novastudy_082@labs.hevra.haifa.ac.il,HC
example_subject_109,26/05/2024,15:08,30/06/2024,17:00,novastudy_076@labs.hevra.haifa.ac.il,HC
example_subject_110,26/05/2024,18:16,30/06/2024,06:00,novastudy_104@labs.hevra.haifa.ac.il,HC
example_subject_111,26/05/2024,18:00,30/06/2024,10:00,novastudy_081@labs.hevra.haifa.ac.il,HC
P_example_subject__001,19/11/2023,14:00,26/12/2023,12:34,novastudy_001@labs.hevra.haifa.ac.il,HC
P_example_subject__002,19/11/2023,14:00,26/12/2023,08:00,novastudy_003@labs.hevra.haifa.ac.il,HC
P_example_subject__004,19/11/2023,14:00,21/12/2023,19:30,novastudy_004@labs.hevra.haifa.ac.il,HC
P_example_subject__006,19/11/2023,14:00,25/12/2023,13:00,novastudy_005@labs.hevra.haifa.ac.il,HC
P_example_subject__009,19/11/2023,14:00,26/12/2023,16:45,novastudy_006@labs.hevra.haifa.ac.il,HC
P_example_subject__012,19/11/2023,14:00,10/12/2023,16:54,novastudy_007@labs.hevra.haifa.ac.il,HC
